,Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres,Year
619,tt2294629,1281508100.0,150000000.0,PG,Walt Disney Studios Motion Pictures,243390.0,"Adventure,Animation,Comedy,Family,Fantasy,Musical",4
620,tt1408253,154468902.0,25000000.0,PG-13,Universal Pictures,41516170.0,"Action,Comedy,Crime",4
621,tt2357291,498781117.0,103000000.0,G,Twentieth Century Fox,39327869.0,"Adventure,Animation,Comedy,Family,Music,Musical",4
622,tt2872732,458863600.0,40000000.0,R,Universal Pictures,43899340.0,"Action,Sci-Fi,Thriller",4
623,tt1091191,154802912.0,40000000.0,R,Universal Pictures,90872.0,"Action,Biography,Drama,War",4
624,tt2582846,307166834.0,12000000.0,PG-13,Twentieth Century Fox,48002523.0,"Drama,Romance",4
625,tt0864835,275698039.0,145000000.0,PG,Twentieth Century Fox,32207057.0,"Adventure,Animation,Comedy,Family,Fantasy,History,Sci-Fi",4
626,tt1253863,337580051.0,110000000.0,R,Warner Bros.,45038460.0,"Action,Drama",4
627,tt1790864,348319861.0,34000000.0,PG-13,Twentieth Century Fox,32512804.0,"Action,Mystery,Sci-Fi,Thriller",4
628,tt1959490,359200044.0,125000000.0,PG-13,Paramount Pictures,43720472.0,"Action,Adventure,Drama",4
629,tt0455944,192330738.0,55000000.0,R,Sony Pictures Entertainment (SPE),34137828.0,"Action,Crime,Thriller",4
630,tt1631867,370541256.0,178000000.0,PG-13,Warner Bros.,28760246.0,"Action,Adventure,Sci-Fi",4
631,tt2024469,222809600.0,50000000.0,PG-13,Universal Pictures,28875635.0,"Action,Mystery,Thriller",4
632,tt1929263,101982712.0,12000000.0,PG,TriStar Pictures,22522221.0,"Biography,Drama,Family",4
633,tt2713180,211822697.0,68000000.0,R,Sony Pictures Entertainment (SPE),23702421.0,"Action,Drama,War",4
634,tt2096672,169837010.0,40000000.0,PG-13,Universal Pictures,36111775.0,Comedy,4
