Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres
tt2358925,14431253.0,35000000.0,R,Twentieth Century Fox,4772613.0,"Comedy,Drama"
tt3488710,61181942.0,35000000.0,PG,TriStar Pictures,1560299.0,"Action,Adventure,Biography,Drama"
tt1911658,373515621.0,132000000.0,PG,Twentieth Century Fox,25447444.0,"Adventure,Animation,Comedy,Family,Sci-Fi"
tt1528100,268175631.0,140000000.0,PG-13,Twentieth Century Fox,24115934.0,"Action,Adventure,Drama,Fantasy"
tt4643580,25892561.0,5300000.0,PG-13,Lionsgate,3424702.0,"Adventure,Animation,Comedy,Family,Fantasy"
tt0816692,701729206.0,165000000.0,PG-13,Paramount Pictures,47510360.0,"Adventure,Drama,Sci-Fi"
tt2870648,23706386.0,,R,A24,222500.0,"Biography,Documentary,Music"
tt1126590,29253166.0,,PG-13,The Weinstein Company,3001738.0,"Biography,Crime,Drama,Romance"
tt3819668,61768190.0,,,FUNimation Entertainment,1817937.0,"Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi"
tt2717822,19652057.0,70000000.0,R,Universal Pictures,3901815.0,"Action,Crime,Thriller"
tt3863552,121126188.0,,,Eros Worldwide,2425000.0,"Action,Adventure,Comedy,Drama"
tt3045616,47275717.0,60000000.0,R,Lionsgate,4200586.0,"Action,Adventure,Comedy,Crime,Mystery"
tt1791682,18117839.0,,R,A24,227688.0,"Comedy,Drama,Mystery"
tt2582802,49396747.0,3300000.0,R,Sony Pictures Classics,135388.0,"Drama,Music"
tt3236120,7452512.0,,PG-13,Bleecker Street Media,52091.0,"Comedy,Drama,Romance"
tt2403021,12666449.0,5000000.0,R,BH Tilt,3520626.0,"Adventure,Horror"
tt1018765,8527658.0,28000000.0,R,Warner Bros.,3238433.0,"Comedy,Drama"
tt1791528,14710975.0,,R,Warner Bros.,328184.0,"Comedy,Crime,Drama,Mystery,Romance"
tt4270516,7205073.0,600000.0,R,Sony Pictures Classics,115540.0,"Comedy,Drama"
tt3203606,11430025.0,,R,Bleecker Street Media,74177.0,"Biography,Crime,Drama"
tt2582496,9074749.0,8000000.0,PG-13,Fox Searchlight Pictures,196496.0,"Comedy,Drama"
tt1810683,17572289.0,,PG-13,Open Road Films (II),2750356.0,"Drama,History,War"
tt1850397,11020402.0,,R,Open Road Films (II),2747342.0,"Mystery,Romance,Thriller"
tt1976009,34227298.0,,PG-13,Twentieth Century Fox,2469341.0,"Drama,Horror,Sci-Fi,Thriller"
tt2937898,12007070.0,20000000.0,R,A24,172788.0,"Action,Crime,Drama,Thriller"
tt1772288,10835752.0,10000000.0,R,Bleecker Street Media,72459.0,"Biography,Comedy,Drama,Music"
tt1100089,19206513.0,,R,Sony Pictures Classics,270877.0,"Biography,Drama,History,Sport"
tt3735246,11350917.0,,,Eros Worldwide,1744975.0,"Action,Drama,History,Romance,War"
tt3170832,35401758.0,,R,A24,118298.0,"Drama,Thriller"
tt4337690,4842699.0,5000000.0,PG-13,The Samuel Goldwyn Company,2035273.0,Drama
tt2273657,5261595.0,,R,Fox Searchlight Pictures,1950214.0,"Biography,Crime,Drama,History,Mystery"
tt3077214,31972096.0,,PG-13,Focus Features,76244.0,"Drama,History"
tt2784678,26117471.0,,R,Paramount Pictures,6896593.0,"Comedy,Romance"
tt2631186,24548038.0,,,Blue Sky Cinema,3575000.0,"Action,Drama"
tt0810819,64191523.0,,R,Focus Features,187318.0,"Biography,Drama,Romance"
tt1433813,74996938.0,,,Warner Bros.,413477.0,Documentary
tt4535650,31994323.0,,,UTV Motion Pictures,1920402.0,"Action,Comedy,Drama,Romance"
tt3595298,52715771.0,,,FIP,2425585.0,"Action,Drama,Musical,Romance"
tt3007512,38176317.0,22500000.0,R,Warner Bros.,1220335.0,"Drama,History,War"
tt3715320,27391084.0,,R,Sony Pictures Classics,175312.0,"Comedy,Crime,Drama,Romance"
tt2402927,40272135.0,,R,The Weinstein Company,253510.0,"Drama,Romance"
tt1727776,16137046.0,15000000.0,R,Paramount Pictures,1841007.0,"Action,Comedy,Horror"
tt4357170,3646627.0,,PG-13,Lionsgate,1402118.0,Comedy
tt3233418,3701325.0,,PG-13,Lionsgate,1335768.0,"Biography,Drama,History"
tt3787590,11122090.0,,R,Warner Bros.,1767308.0,"Drama,Music,Romance"
tt3416742,7253160.0,,R,Unison/Paladin,88940.0,"Comedy,Horror"
tt3062976,5967516.0,,R,Broad Green Pictures,66015.0,"Comedy,Drama,Romance"
tt2473794,22179785.0,,R,Sony Pictures Classics,109000.0,"Biography,Drama,History"
tt2764784,5855623.0,,PG-13,IFC Films,30296.0,"Drama,History,Music,Romance"
tt4110568,17870077.0,,,Eros Worldwide,1326267.0,"Comedy,Drama,Romance"
tt4296800,3504414.0,,PG-13,Lionsgate,1411031.0,Comedy
tt2140465,4180081.0,,,Eros Worldwide,1006476.0,"Comedy,Drama,Romance"
tt3164256,3394174.0,,R,Open Road Films (II),1470592.0,"Comedy,Music,War"
tt3416744,3072991.0,,R,A24,123238.0,"Biography,Drama"
tt3011894,30642704.0,,R,Sony Pictures Classics,85100.0,"Comedy,Drama,Thriller"
tt2170439,107645357.0,42000000.0,R,Warner Bros.,15457418.0,"Comedy,Crime"
tt3065132,3433606.0,,PG-13,Fox Searchlight Pictures,61808.0,"Biography,Documentary"
tt3268668,2801508.0,,PG-13,Paramount Pictures,1393243.0,"Action,Biography,Crime,Drama,History,Thriller"
tt4594834,2719699.0,,R,Roadside Attractions,1198453.0,"Comedy,Crime,Drama,Musical"
tt2788710,11782625.0,,R,Sony Pictures Entertainment (SPE),1794666.0,"Action,Adventure,Comedy"
